network_model,nodes,edges,attachment_m,repeat,seed,time_grid_steps,max_fbs_iterations,tolerance,model_level,state_dimension,degree_classes,prep_seconds,fbs_seconds,total_seconds,fbs_iterations,final_delta,converged,cost
Barabasi-Albert scale-free,1400,4194,3,3,20265017,35,60,0.0001,degree,39.0,39.0,9.200000000930686e-05,3.0705722919999943,3.0706642920000036,21.0,9.656365132720834e-05,1.0,34.660741452946375
Barabasi-Albert scale-free,1500,4494,3,1,20263117,35,60,0.0001,degree,41.0,41.0,9.725000001026274e-05,2.611914624999997,2.6120118750000074,21.0,7.61230925125922e-05,1.0,34.65468100936855
Barabasi-Albert scale-free,1500,4494,3,2,20264117,35,60,0.0001,degree,40.0,40.0,0.00010575000000301316,2.8143086250000096,2.8144143750000126,21.0,7.61230925125922e-05,1.0,34.669574497523996
Barabasi-Albert scale-free,1500,4494,3,3,20265117,35,60,0.0001,degree,41.0,41.0,0.00010612500000206637,2.569293375000001,2.569399500000003,21.0,9.380773589906521e-05,1.0,34.67942606970567
Barabasi-Albert scale-free,1600,4794,3,1,20263217,35,60,0.0001,degree,41.0,41.0,0.00010974999999291413,2.821831666999998,2.821941416999991,21.0,7.61230925125922e-05,1.0,34.63875830449566
Barabasi-Albert scale-free,1600,4794,3,2,20264217,35,60,0.0001,degree,39.0,39.0,0.00017491699999538923,2.366892708000009,2.3670676250000042,21.0,7.61230925125922e-05,1.0,34.69599676235597
Barabasi-Albert scale-free,1600,4794,3,3,20265217,35,60,0.0001,degree,42.0,42.0,0.00011083399999733956,2.9689045410000006,2.969015374999998,22.0,4.948001013316272e-05,1.0,34.64695141831085
Barabasi-Albert scale-free,1700,5094,3,1,20263317,35,60,0.0001,degree,41.0,41.0,0.00011379200000760648,3.7406827080000085,3.740796500000016,21.0,9.307493913468523e-05,1.0,34.6496777953108
Barabasi-Albert scale-free,1700,5094,3,2,20264317,35,60,0.0001,degree,41.0,41.0,0.00011124999998912699,3.068866084000007,3.068977333999996,21.0,7.61230925125922e-05,1.0,34.66735505424451
Barabasi-Albert scale-free,1700,5094,3,3,20265317,35,60,0.0001,degree,43.0,43.0,0.00012104099999987739,2.5760294159999972,2.576150456999997,21.0,7.61230925125922e-05,1.0,34.66443080680127
Barabasi-Albert scale-free,1800,5394,3,1,20263417,35,60,0.0001,degree,43.0,43.0,0.00012270899999577978,3.397449375000008,3.3975720840000037,22.0,5.609886514368334e-05,1.0,34.61477916431493
Barabasi-Albert scale-free,1800,5394,3,2,20264417,35,60,0.0001,degree,43.0,43.0,0.00013308299999437168,2.625647749999999,2.625780832999993,22.0,4.948001013316272e-05,1.0,34.65426270411542
Barabasi-Albert scale-free,1800,5394,3,3,20265417,35,60,0.0001,degree,42.0,42.0,0.00011670799999308201,2.8961307499999975,2.8962474579999906,21.0,7.61230925125922e-05,1.0,34.68063309779977
Barabasi-Albert scale-free,1900,5694,3,1,20263517,35,60,0.0001,degree,47.0,47.0,0.0001217500000052496,3.310206167000004,3.3103279170000093,21.0,7.61230925125922e-05,1.0,34.67659364623734
Barabasi-Albert scale-free,1900,5694,3,2,20264517,35,60,0.0001,degree,45.0,45.0,0.00012070799999719384,3.0445363329999964,3.0446570409999936,22.0,4.948001013316272e-05,1.0,34.67278839313642
Barabasi-Albert scale-free,1900,5694,3,3,20265517,35,60,0.0001,degree,42.0,42.0,0.00012408399999230824,3.2338261250000073,3.2339502089999996,21.0,9.67401663813372e-05,1.0,34.67854060860299
Barabasi-Albert scale-free,2000,5994,3,1,20263617,35,60,0.0001,degree,43.0,43.0,0.0001273750000052587,2.8047129159999997,2.804840291000005,21.0,8.648321086729416e-05,1.0,34.67700756475496
Barabasi-Albert scale-free,2000,5994,3,2,20264617,35,60,0.0001,degree,43.0,43.0,0.00012883299999089104,3.5282128340000156,3.5283416670000065,21.0,7.62718471528645e-05,1.0,34.651893676148234
Barabasi-Albert scale-free,2000,5994,3,3,20265617,35,60,0.0001,degree,40.0,40.0,0.0001240419999817277,3.863929167000009,3.864053208999991,21.0,7.61230925125922e-05,1.0,34.615622316801165
