network_model,nodes,edges,attachment_m,repeat,seed,time_grid_steps,max_fbs_iterations,tolerance,model_level,solver_type,state_dimension,degree_classes,matrix_nonzeros,prep_seconds,fbs_seconds,total_seconds,fbs_iterations,final_delta,converged,cost,horizon,beta,delta,state_weight,control_weight,control_max,damping,mean_initial_state,mean_final_state,mean_control,max_control
Barabasi-Albert scale-free,1600,4794,3,3,20265217,35,60,0.0001,degree,adaptive_solve_ivp,42.0,42.0,,0.00011108300000728377,3.2987142090000106,3.298825292000018,22.0,4.948001013316272e-05,1.0,34.64695141831133,,,,,,,,,,,
Barabasi-Albert scale-free,1700,5094,3,1,20263317,35,60,0.0001,degree,adaptive_solve_ivp,41.0,41.0,,0.00011379199999339562,4.125065875000004,4.125179666999998,21.0,9.305579759077975e-05,1.0,34.64967779539058,,,,,,,,,,,
Barabasi-Albert scale-free,1700,5094,3,2,20264317,35,60,0.0001,degree,adaptive_solve_ivp,41.0,41.0,,0.00013400000000274304,3.446026582999991,3.446160582999994,21.0,7.61230925125922e-05,1.0,34.667355054213644,,,,,,,,,,,
Barabasi-Albert scale-free,1700,5094,3,3,20265317,35,60,0.0001,degree,adaptive_solve_ivp,43.0,43.0,,0.00014504099999612663,2.8569482500000163,2.8570932910000124,21.0,7.61230925125922e-05,1.0,34.66443091875367,,,,,,,,,,,
Barabasi-Albert scale-free,1800,5394,3,1,20263417,35,60,0.0001,degree,adaptive_solve_ivp,43.0,43.0,,0.0001273750000052587,3.6522875,3.652414875000005,21.0,9.780362685535282e-05,1.0,34.614791482726716,,,,,,,,,,,
Barabasi-Albert scale-free,1800,5394,3,2,20264417,35,60,0.0001,degree,adaptive_solve_ivp,43.0,43.0,,0.00012087500002166962,2.7882998329999964,2.788420708000018,21.0,7.61230925125922e-05,1.0,34.65426318193411,,,,,,,,,,,
Barabasi-Albert scale-free,1800,5394,3,3,20265417,35,60,0.0001,degree,adaptive_solve_ivp,42.0,42.0,,0.0001258339999878899,3.173657792,3.173783625999988,21.0,7.61230925125922e-05,1.0,34.68063348046065,,,,,,,,,,,
Barabasi-Albert scale-free,1900,5694,3,1,20263517,35,60,0.0001,degree,adaptive_solve_ivp,47.0,47.0,,0.00012120799999593146,3.665124249999991,3.665245457999987,21.0,7.61230925125922e-05,1.0,34.676593646236704,,,,,,,,,,,
Barabasi-Albert scale-free,1900,5694,3,2,20264517,35,60,0.0001,degree,adaptive_solve_ivp,45.0,45.0,,0.0001237500000002001,3.2905148750000137,3.290638625000014,21.0,7.61230925125922e-05,1.0,34.672788708904,,,,,,,,,,,
Barabasi-Albert scale-free,1900,5694,3,3,20265517,35,60,0.0001,degree,adaptive_solve_ivp,42.0,42.0,,0.00012170800002309079,3.5950608750000015,3.5951825830000246,21.0,9.67403840799741e-05,1.0,34.678540608603086,,,,,,,,,,,
Barabasi-Albert scale-free,2000,5994,3,1,20263617,35,60,0.0001,degree,adaptive_solve_ivp,43.0,43.0,,0.00013558300000227064,3.094327124999978,3.0944627079999805,21.0,7.61230925125922e-05,1.0,34.67698444081551,,,,,,,,,,,
Barabasi-Albert scale-free,2000,5994,3,2,20264617,35,60,0.0001,degree,adaptive_solve_ivp,43.0,43.0,,0.00019979199998942931,3.9354832079999937,3.935682999999983,21.0,9.178028051892717e-05,1.0,34.65189340554884,,,,,,,,,,,
Barabasi-Albert scale-free,2000,5994,3,3,20265617,35,60,0.0001,degree,adaptive_solve_ivp,40.0,40.0,,0.0001233329999763555,4.255764833000001,4.255888165999977,21.0,7.61230925125922e-05,1.0,34.61562311516125,,,,,,,,,,,
