repo,iteration,metric,value
PropagandaWar_TIFS_2024_Code,37,blue_payoff_change,7.6427916464894e-05
PropagandaWar_TIFS_2024_Code,38,blue_payoff_change,9.918601286074136e-06
PropagandaWar_TIFS_2024_Code,39,blue_payoff_change,8.980135419278668e-06
PropagandaWar_TIFS_2024_Code,40,blue_payoff_change,8.03320273234931e-06
PropagandaWar_TIFS_2024_Code,41,blue_payoff_change,7.1192731994074165e-06
PropagandaWar_TIFS_2024_Code,42,blue_payoff_change,6.2628985268986526e-06
PropagandaWar_TIFS_2024_Code,43,blue_payoff_change,5.477047011481773e-06
PropagandaWar_TIFS_2024_Code,44,blue_payoff_change,4.766925506771713e-06
PropagandaWar_TIFS_2024_Code,45,blue_payoff_change,4.132690161640085e-06
PropagandaWar_TIFS_2024_Code,46,blue_payoff_change,3.57134694795036e-06
PropagandaWar_TIFS_2024_Code,47,blue_payoff_change,3.07806560329027e-06
PropagandaWar_TIFS_2024_Code,48,blue_payoff_change,2.6470730389860364e-06
PropagandaWar_TIFS_2024_Code,49,blue_payoff_change,2.2722474142256033e-06
PropagandaWar_TIFS_2024_Code,50,blue_payoff_change,1.9475012535963288e-06
PropagandaWar_TIFS_2024_Code,51,blue_payoff_change,1.6670177345190496e-06
PropagandaWar_TIFS_2024_Code,52,blue_payoff_change,1.4253859887958242e-06
PropagandaWar_TIFS_2024_Code,53,blue_payoff_change,1.2176682417930351e-06
PropagandaWar_TIFS_2024_Code,54,blue_payoff_change,1.039421849924338e-06
PropagandaWar_TIFS_2024_Code,55,blue_payoff_change,8.866926251016594e-07
PropagandaWar_TIFS_2024_Code,56,blue_payoff_change,7.559906229914759e-07
PropagandaWar_TIFS_2024_Code,57,blue_payoff_change,6.442560049890744e-07
PropagandaWar_TIFS_2024_Code,58,blue_payoff_change,5.488203669301583e-07
PropagandaWar_TIFS_2024_Code,59,blue_payoff_change,4.6736661118984557e-07
PropagandaWar_TIFS_2024_Code,60,blue_payoff_change,3.978899059120522e-07
PropagandaWar_TIFS_2024_Code,1,strategy_change,0.5924999999999999
PropagandaWar_TIFS_2024_Code,2,strategy_change,0.5036249999999999
PropagandaWar_TIFS_2024_Code,3,strategy_change,0.42808124999999997
PropagandaWar_TIFS_2024_Code,4,strategy_change,0.36386906250000006
PropagandaWar_TIFS_2024_Code,5,strategy_change,0.309288703125
PropagandaWar_TIFS_2024_Code,6,strategy_change,0.26289539765625003
PropagandaWar_TIFS_2024_Code,7,strategy_change,0.22346108800781206
PropagandaWar_TIFS_2024_Code,8,strategy_change,0.1899419248066403
PropagandaWar_TIFS_2024_Code,9,strategy_change,0.16145063608564447
PropagandaWar_TIFS_2024_Code,10,strategy_change,0.13723304067279773
PropagandaWar_TIFS_2024_Code,11,strategy_change,0.11664808457187803
PropagandaWar_TIFS_2024_Code,12,strategy_change,0.0991508718860965
PropagandaWar_TIFS_2024_Code,13,strategy_change,0.08427824110318172
PropagandaWar_TIFS_2024_Code,14,strategy_change,0.07163650493770479
PropagandaWar_TIFS_2024_Code,15,strategy_change,0.06089102919704903
PropagandaWar_TIFS_2024_Code,16,strategy_change,0.05175737481749154
PropagandaWar_TIFS_2024_Code,17,strategy_change,0.0439937685948677
PropagandaWar_TIFS_2024_Code,18,strategy_change,0.037394703305637655
PropagandaWar_TIFS_2024_Code,19,strategy_change,0.03178549780979223
PropagandaWar_TIFS_2024_Code,20,strategy_change,0.02701767313832315
PropagandaWar_TIFS_2024_Code,21,strategy_change,0.022965022167574567
PropagandaWar_TIFS_2024_Code,22,strategy_change,0.019520268842438515
PropagandaWar_TIFS_2024_Code,23,strategy_change,0.016592228516072893
PropagandaWar_TIFS_2024_Code,24,strategy_change,0.014103394238661693
PropagandaWar_TIFS_2024_Code,25,strategy_change,0.011987885102862528
PropagandaWar_TIFS_2024_Code,26,strategy_change,0.010189702337433104
